product_id,name,description,category,brand,price
59258,iPhone 16 Pro Max 256GB | Chính hãng VN/A,"Hiện nay Apple cũng đã cho ra mắt mẫu iPhone 17 Pro với thiết kế nhỏ gọn, màu mới kèm pin trâu. Ngoài dòng Pro Max bạn đang theo dõi, cùng khám phá xem ngay để có nên mua ngay không nhé!",Điện thoại,Apple,34990000.0
112588,iPhone 17 Pro Max 256GB | Chính hãng,,Điện thoại,Apple,37990000.0
99687,Xiaomi 15T 5G 12GB 512GB,"Xiaomi 15T chính thức ra mắt tại thị trường Việt Nam. Với nhiều thay đổi tích cực về hiệu năng, màn hình, thời lượng pin. Đặt biệt là khả năng chụp ảnh, mang đến nhiều chế độ chụp và quay phim chuyên nghiệp. Cùng mức giá khá tốt và ưu đãi hấp dẫn. Xiaomi mới này xứng đáng là chiếc điện thoại đáng mua năm 2025.",Điện thoại,Xiaomi,14990000.0
84109,Samsung Galaxy S25 Ultra 12GB 256GB,"Samsung Galaxy S25 Ultra mạnh mẽ với chip Snapdragon 8 Elite For Galaxy mới nhất, RAM 12GB và bộ nhớ trong 256GB-1TB. Hệ thống 3 camera sau chất lượng gồm camera chính 200MP, camera tele 50MP và camera góc siêu rộng 50MP. Thiết kế kính cường lực Corning Gorilla Armor 2 và khung viền Titanium, màn hình Dynamic AMOLED 6.9 inch. Điện thoại này còn có viên pin 5000mAh, hỗ trợ 5G và Galaxy AI ấn tượng, nâng cao trải nghiệm người dùng!",Điện thoại,Samsung,33380000.0
43152,iPhone 15 128GB | Chính hãng VN/A,"iPhone 15 thường  được trang bị màn hình Dynamic Island 6.1 inch với công nghệ Super Retina XDR mang đến trải nghiệm hiển thị sống động vượt trội. iPhone 15 128GB sở hữu camera chính 48MP cùng khả năng zoom 2x giúp ghi lại mọi khoảnh khắc với chất lượng rõ nét. Cổng Type-C của ip15 thường giúp cải thiện kết nối, đồng thời đem lại tiện ích khi dùng.",Điện thoại,Apple,19990000.0
99688, Xiaomi 15T Pro 5G 12GB 512GB,"Xiaomi 15T Pro chính hãng đã chính thức ra mắt với nhiều nâng cấp vượt trội, có thể kể đến như hiệu năng, thời lượng pin và camera. Bên cạnh đó, nhiều tính năng Ai cũng được chú trọng tích hợp, mang đến người dùng nhiều trải nghiệm mới mẻ hơn. ",Điện thoại,Xiaomi,19490000.0
99770,Samsung Galaxy Z Fold7 12GB 256GB,Samsung Galaxy Z Fold 7 5G 12GB/256GB là điện thoại gập siêu mỏng mới nhất của Samsung. Đang có ưu đãi đến 16 triệu đồng. Nổi bật camera 200MP và chip Snapdragon 8 Elite 3nm tích hợp AI mạnh mẽ. One UI 8 tối ưu cá nhân hóa. Giá chỉ từ 37.990.000đ cho bản 256GB. Cập nhật ngày 05/10/2025,Điện thoại,Samsung,46990000.0
112584,iPhone Air 256GB | Chính hãng,,Điện thoại,Apple,31990000.0
76443,Xiaomi 14T Pro 12GB 512GB,,Điện thoại,Xiaomi,17670000.0
59254,iPhone 16 128GB | Chính hãng VN/A,"iPhone 16 bản thường 128GB sở hữu thiết kế khung nhôm, mặt lưng kính pha màu cùng với 5 màu sắc bắt mắt để lựa chọn. Máy với trọng lượng 170g cùng kích thước màn hình 6.1 inch Super Retina XDR, dải màu P3. Với cấu hình từ chip A18 Bionic mới, điện thoại iPhone mới này mang lại hiệu năng ổn định, đáp ứng nhiều nhu cầu dùng.",Điện thoại,Apple,22990000.0
59257,iPhone 16 Pro 128GB | Chính hãng VN/A,"iPhone 16 Pro chính là thế hệ điện thoại tiếp theo được Apple cho ra mắt vào tháng 9/2024. Với những thay đổi đầy vượt bậc như: camera của chiếc iPhone 16 bản Pro có độ phân giải 48MP, camera Ultra Wide 48MP, camera Telephoto 5x 12MP, dung lượng bộ nhớ trong 128GB và chipset A18 Pro mạnh mẽ. Tất cả những điều trên biến chiếc điện thoại iPhone 16 trở thành một siêu phẩm công nghệ mới.",Điện thoại,Apple,28990000.0
